CGid,coef
cg25184464,-1.0083401280100779
cg17437489,-0.6646386804810859
cg17599620,-0.5921482739381461
cg26957053,0.5163200906757635
cg12749937,-0.4169887168970081
cg00464569,-0.3275718169255918
cg17594003.2,-0.3165718381667733
cg21400910,-0.2665054429474894
cg12633563,-0.22083485918226892
cg03708116,0.21756354136758738
cg21243848,-0.16975648451887254
cg15675612,-0.12668539912299187
cg01006396,-0.11728347998680119
cg17076630,-0.11476031573269799
cg09820365,0.11345506194106236
cg03668418,-0.11324842523073417
cg24551749,0.10653956826003344
cg11025918,0.10338409981663516
cg03470475,0.10099661369334069
cg01669013,0.0966214057047852
cg07782006,-0.09392246593178719
cg04086891,0.09050968711602259
cg02574073,-0.06986206023656193
cg09799162,0.06283409773711024
cg17072671,0.05212932700059346
cg24897861,-0.0361879205345007
cg19116298,-0.033654467370566855
cg05059566,-0.02213280390307146
cg10390530,0.012171925262150732
cg14789659,-0.009287944782584986
cg00250826,0.0006413627036078247
