SpeciesLatinName,Common.name,Order,Family,Genus,maxAge,weightCaesar,averagedMaturity.yrs,GestationTimeInYears,Metabolic.rate..W.,Body.mass..g.,Temperature..K.
Capra ibex,Ibex,Artiodactyla,Bovidae,Capra,20.9,82500.0,2.81232876712329,0.463013698630137,,,
Capra nubiana,Nubian ibex,Artiodactyla,Bovidae,Capra,22.4,46250.0,,0.410958904109589,,,
Capra pyrenaica,Spanish ibex,Artiodactyla,Bovidae,Capra,16.0,57500.0,2.25205479452055,0.452054794520548,,,
Capra sibirica,Siberian ibex,Artiodactyla,Bovidae,Capra,22.3,130000.0,,0.479452054794521,,,
Capricornis crispus,Japanese serow,Artiodactyla,Bovidae,Capricornis,24.0,80000.0,3.0,0.589041095890411,,,
Capricornis sumatraensis,Serow,Artiodactyla,Bovidae,Capricornis,18.5,95000.0,2.62465753424658,0.583561643835616,,,
Cephalophus dorsalis,Bay duiker,Artiodactyla,Bovidae,Cephalophus,17.5,11600.0,1.58356164383562,0.646575342465753,,,
Cephalophus jentinki,Jentink's duiker,Artiodactyla,Bovidae,Cephalophus,21.0,70000.3,,,,,
Cephalophus natalensis,Natal duiker,Artiodactyla,Bovidae,Cephalophus,15.2,10000.0,,0.583561643835616,,,
Cephalophus niger,Black duiker,Artiodactyla,Bovidae,Cephalophus,14.8,18100.0,,0.350684931506849,,,
Cephalophus nigrifrons,Black-fronted duiker,Artiodactyla,Bovidae,Cephalophus,17.9,13900.0,,,,,
Cephalophus rufilatus,Red-flanked duiker,Artiodactyla,Bovidae,Cephalophus,15.2,13000.0,0.73972602739726,0.63013698630137,,,
Cephalophus silvicultor,Yellow-backed duiker,Artiodactyla,Bovidae,Cephalophus,22.5,62000.0,,0.452054794520548,,,
Cephalophus weynsi,Weyns's duiker,Artiodactyla,Bovidae,Cephalophus,15.2,,,,,,
Cephalophus zebra,Zebra duiker,Artiodactyla,Bovidae,Cephalophus,12.2,17500.1,,0.621917808219178,,,
Connochaetes gnou,Black wildebeest,Artiodactyla,Bovidae,Connochaetes,21.8,132250.0,2.09041095890411,0.70958904109589,,,
Connochaetes taurinus albojubatus,Blue wildebeest,Artiodactyla,Bovidae,Connochaetes,24.3,164500.0,1.81232876712329,0.693150684931507,230.073,196500.0,311.15
Damaliscus lunatus,Topi,Artiodactyla,Bovidae,Damaliscus,23.6,110000.0,1.75068493150685,0.652054794520548,,,
Damaliscus pygargus,Sassaby or blesbok,Artiodactyla,Bovidae,Damaliscus,23.0,84500.0,1.93698630136986,0.665753424657534,,,
Eudorcas rufifrons,Red-fronted gazelle,Artiodactyla,Bovidae,Eudorcas,14.5,15011.0,,0.479452054794521,,,
Eudorcas thomsonii,Thomson's gazelle,Artiodactyla,Bovidae,Eudorcas,20.0,25000.0,1.0,0.465753424657534,,,
Gazella bennettii,Indian gazelle,Artiodactyla,Bovidae,Gazella,,18916.7,,,,,
Gazella cuvieri,Cuvier's gazelle,Artiodactyla,Bovidae,Gazella,17.9,17500.0,0.724657534246575,0.468493150684932,,,
Gazella dorcas,Dorcas gazelle,Artiodactyla,Bovidae,Gazella,23.7,14500.0,1.80684931506849,0.498630136986301,,,312.05
Gazella gazella,Mountain gazelle,Artiodactyla,Bovidae,Gazella,18.3,23250.0,1.3041095890411,0.493150684931507,,,312.65
Gazella leptoceros,Rhim gazelle,Artiodactyla,Bovidae,Gazella,14.6,48500.0,0.43013698630137,0.482191780821918,,,
Gazella spekei,Speke's gazelle,Artiodactyla,Bovidae,Gazella,12.7,20000.0,1.4,0.53972602739726,,,
Gazella subgutturosa,Goitered gazelle,Artiodactyla,Bovidae,Gazella,16.3,48500.0,1.90684931506849,0.479452054794521,,,312.65
Hemitragus hylocrius,Nilgiri tahr,Artiodactyla,Bovidae,Hemitragus,17.3,75000.0,1.83287671232877,0.515068493150685,,,
Hemitragus jayakari,Arabian tahr,Artiodactyla,Bovidae,Hemitragus,14.0,23000.0,,0.449315068493151,,,
Hemitragus jemlahicus,Himalayan tahr,Artiodactyla,Bovidae,Hemitragus,21.8,35200.0,1.74931506849315,0.501369863013699,,,
Hippotragus equinus,Roan antelope,Artiodactyla,Bovidae,Hippotragus,25.9,225000.0,2.11506849315069,0.778082191780822,,,
Hippotragus niger,Sable antelope,Artiodactyla,Bovidae,Hippotragus,22.2,225000.0,2.67397260273973,0.742465753424657,,,
Kobus ellipsiprymnus,Waterbuck,Artiodactyla,Bovidae,Kobus,30.0,175333.0,2.11232876712329,0.723287671232877,148.949,100000.0,311.85
Kobus kob,Kob,Artiodactyla,Bovidae,Kobus,21.9,105000.0,1.05205479452055,0.687671232876712,,,
Kobus leche,Lechwe,Artiodactyla,Bovidae,Kobus,25.4,94800.0,2.66849315068493,0.627397260273973,,,
Kobus megaceros,Nile lechwe,Artiodactyla,Bovidae,Kobus,21.1,90000.0,2.0,0.643835616438356,,,
Litocranius walleri,Gerenuk,Artiodactyla,Bovidae,Litocranius,17.3,43500.0,0.983561643835616,0.558904109589041,,,
Madoqua guentheri,Gunther's dik-dik,Artiodactyla,Bovidae,Madoqua,17.5,4550.0,0.37972602739726,0.487671232876712,,,310.95
Madoqua kirkii,Kirk's dik-dik,Artiodactyla,Bovidae,Madoqua,17.3,5000.0,0.708219178082192,0.471232876712329,11.966,4290.0,312.15
Naemorhedus baileyi,Red goral,Artiodactyla,Bovidae,Naemorhedus,19.0,28863.0,,0.583561643835616,,,
Naemorhedus caudatus,Chinese goral,Artiodactyla,Bovidae,Naemorhedus,20.3,27000.0,,,,,
Naemorhedus goral,Goral,Artiodactyla,Bovidae,Naemorhedus,17.6,31750.0,1.36986301369863,0.589041095890411,,,
Nanger dama,Dama gazelle,Artiodactyla,Bovidae,Nanger,19.3,56900.0,1.5,0.56986301369863,,,312.35
Nanger granti,Grant's gazelle,Artiodactyla,Bovidae,Nanger,19.7,67000.0,0.687671232876712,0.536986301369863,,,
Nanger soemmerringii,Soemmering's gazelle,Artiodactyla,Bovidae,Nanger,15.5,48500.0,1.75342465753425,0.520547945205479,,,
Neotragus moschatus,Suni,Artiodactyla,Bovidae,Neotragus,13.5,6500.0,0.501369863013699,0.493150684931507,,,
Neotragus pygmaeus,Royal antelope,Artiodactyla,Bovidae,Neotragus,11.1,2250.0,,0.501369863013699,,,
Oreamnos americanus,Mountain goat,Artiodactyla,Bovidae,Oreamnos,20.8,90000.0,2.4986301369863,0.504109589041096,46.414,32000.0,
Oreotragus oreotragus,Klipspringer,Artiodactyla,Bovidae,Oreotragus,25.9,12000.0,1.0,0.536986301369863,,,
Oryx dammah,Scimitar-horned oryx,Artiodactyla,Bovidae,Oryx,27.5,177500.0,1.75068493150685,0.676712328767123,,,
Oryx gazella,Gemsbok,Artiodactyla,Bovidae,Oryx,23.8,170000.0,1.50684931506849,0.73972602739726,,,312.05
Oryx leucoryx,Arabian oryx,Artiodactyla,Bovidae,Oryx,20.8,121350.0,2.17534246575342,0.665753424657534,,,311.65
Ourebia ourebi,Oribi,Artiodactyla,Bovidae,Ourebia,15.9,17000.0,1.0,0.528767123287671,,,
Ovibos moschatus,Muskox,Artiodactyla,Bovidae,Ovibos,27.4,315000.0,3.25205479452055,0.706849315068493,,,310.85
Ovis ammon,Argali,Artiodactyla,Bovidae,Ovis,16.8,160000.0,1.67945205479452,0.465753424657534,,,
Ovis aries,Domestic sheep or mouflon,Artiodactyla,Bovidae,Ovis,22.8,80000.0,2.0027397260274,0.4,,,311.95
Ovis canadensis,Bighorn sheep,Artiodactyla,Bovidae,Ovis,20.6,70275.0,1.99452054794521,0.493150684931507,114.674,67030.8,311.15
Ovis dalli,Dall's sheep,Artiodactyla,Bovidae,Ovis,19.6,73100.0,1.81232876712329,0.473972602739726,,,
Pelea capreolus,Common rhebok,Artiodactyla,Bovidae,Pelea,12.3,25000.0,,0.715068493150685,,,
Philantomba maxwellii,Maxwell's duiker,Artiodactyla,Bovidae,Philantomba,18.3,7000.0,2.0,0.328767123287671,,,
Philantomba monticola,Blue duiker,Artiodactyla,Bovidae,Philantomba,15.9,6250.0,1.60547945205479,0.528767123287671,10.075,4200.0,312.55
Procapra gutturosa,Mongolian gazelle,Artiodactyla,Bovidae,Procapra,12.0,30000.0,1.45753424657534,0.506849315068493,,,
Pseudois nayaur,Bharal,Artiodactyla,Bovidae,Pseudois,20.9,55000.0,2.0,0.438356164383562,,,
Raphicerus campestris,Steenbok,Artiodactyla,Bovidae,Raphicerus,9.3,13000.0,0.658904109589041,0.53972602739726,20.619,9600.0,312.55
Raphicerus melanotis,Cape grysbok,Artiodactyla,Bovidae,Raphicerus,14.0,10249.9,,,,,
Redunca arundinum,Southern reedbuck,Artiodactyla,Bovidae,Redunca,16.8,58000.0,,0.613698630136986,,,
Redunca fulvorufula,Mountain reedbuck,Artiodactyla,Bovidae,Redunca,15.0,30000.0,0.99041095890411,0.591780821917808,,,
Redunca redunca,Bohar reedbuck,Artiodactyla,Bovidae,Redunca,18.0,45500.0,1.37534246575342,0.624657534246575,,,
Rupicapra pyrenaica,Pyrenean chamois,Artiodactyla,Bovidae,Rupicapra,,30000.0,,,,,
Rupicapra rupicapra,Chamois,Artiodactyla,Bovidae,Rupicapra,17.6,37500.0,1.83972602739726,0.334246575342466,,,
Saiga tatarica,Saiga,Artiodactyla,Bovidae,Saiga,12.0,37500.0,1.36986301369863,0.416438356164384,,,
Sylvicapra grimmia,Bush duiker,Artiodactyla,Bovidae,Sylvicapra,15.4,18500.0,0.698630136986301,0.452054794520548,,,
Syncerus caffer,African buffalo,Artiodactyla,Bovidae,Syncerus,32.8,700000.0,4.31369863013699,0.906849315068493,,,
Taurotragus derbianus,Giant eland,Artiodactyla,Bovidae,Taurotragus,20.3,680000.0,3.03287671232877,0.723287671232877,,,
Taurotragus oryx,Eland,Artiodactyla,Bovidae,Taurotragus,26.1,500000.0,1.58904109589041,0.750684931506849,190.209,141404.0,309.65
Tetracerus quadricornis,Four-horned antelope,Artiodactyla,Bovidae,Tetracerus,17.4,19000.0,1.0,0.580821917808219,,,
Tragelaphus angasii,Nyala,Artiodactyla,Bovidae,Tragelaphus,18.5,120000.0,1.23835616438356,0.613698630136986,,,
Tragelaphus eurycerus,Bongo,Artiodactyla,Bovidae,Tragelaphus,21.9,307500.0,2.35616438356164,0.789041095890411,,,
Tragelaphus imberbis,Lesser kudu,Artiodactyla,Bovidae,Tragelaphus,19.8,82500.0,1.38082191780822,0.643835616438356,,,
Tragelaphus scriptus,Bushbuck,Artiodactyla,Bovidae,Tragelaphus,15.3,60000.0,1.35890410958904,0.515068493150685,,,
Tragelaphus spekii,Sitatunga,Artiodactyla,Bovidae,Tragelaphus,22.6,87500.0,1.0986301369863,0.663013698630137,,,
Tragelaphus strepsiceros,Greater kudu,Artiodactyla,Bovidae,Tragelaphus,23.5,217500.0,1.41643835616438,0.624657534246575,,,312.05
Camelus bactrianus,Bactrian camel,Artiodactyla,Camelidae,Camelus,35.4,475000.0,3.5013698630137,1.08219178082192,,,
Camelus dromedarius,Dromedary,Artiodactyla,Camelidae,Camelus,28.4,434000.0,4.5013698630137,1.10958904109589,224.779,407000.0,310.65
Lama glama,Llama,Artiodactyla,Camelidae,Lama,28.9,140000.0,2.19178082191781,0.904109589041096,148.94,115000.0,311.45
Lama guanicoe,Guanaco,Artiodactyla,Camelidae,Lama,33.7,127500.0,1.5,0.917808219178082,,,311.15
Vicugna pacos,Alpaca,Artiodactyla,Camelidae,Vicugna,25.8,62000.0,1.27671232876712,0.945205479452055,,,312.25
Vicugna vicugna,Vicugna,Artiodactyla,Camelidae,Vicugna,31.6,50000.0,2.0,0.931506849315068,,,313.05
Alces alces,Moose,Artiodactyla,Cervidae,Alces,27.0,386000.0,1.86712328767123,0.665753424657534,286.847,325000.0,311.75
Axis axis,Chital,Artiodactyla,Cervidae,Axis,20.8,36000.0,2.3,0.619178082191781,,,312.35
Axis calamianensis,Calamian deer,Artiodactyla,Cervidae,Axis,17.2,40500.0,,0.613698630136986,,,
Axis kuhlii,Bawean deer,Artiodactyla,Cervidae,Axis,17.8,55000.0,,0.621917808219178,,,
Axis porcinus,Hog deer,Artiodactyla,Cervidae,Axis,22.9,43000.0,0.832876712328767,0.635616438356164,,,
Blastocerus dichotomus,Marsh deer,Artiodactyla,Cervidae,Blastocerus,,102500.0,,0.73972602739726,,,
Capreolus capreolus,Western roe deer,Artiodactyla,Cervidae,Capreolus,17.5,21666.7,1.46301369863014,0.419178082191781,46.347,21500.0,311.15
Capreolus pygargus,Eastern roe deer,Artiodactyla,Cervidae,Capreolus,,39450.0,2.48997260273973,0.805479452054795,,,
Cervus elaphus,Red deer,Artiodactyla,Cervidae,Cervus,31.5,200000.0,2.16712328767123,0.671232876712329,112.43,67000.0,308.35
Cervus nippon,Sika deer,Artiodactyla,Cervidae,Cervus,26.3,42000.0,1.36986301369863,0.575342465753425,,,312.95
Dama dama,Fallow deer,Artiodactyla,Cervidae,Dama,21.1,70000.0,1.36164383561644,0.638356164383562,,,
Elaphodus cephalophus,Tufted deer,Artiodactyla,Cervidae,Elaphodus,22.7,33500.0,1.87534246575342,0.493150684931507,,,
Elaphurus davidianus,Pere David's deer,Artiodactyla,Cervidae,Elaphurus,27.5,186500.0,2.74931506849315,0.789041095890411,,,
Hippocamelus antisensis,Guemals,Artiodactyla,Cervidae,Hippocamelus,10.6,45000.0,,0.698630136986301,,,
Hippocamelus bisulcus,Chilean guemal,Artiodactyla,Cervidae,Hippocamelus,,70000.0,,0.542465753424658,,,
Hydropotes inermis,Chinese water deer,Artiodactyla,Cervidae,Hydropotes,13.9,11500.0,0.501369863013699,0.520547945205479,,,311.45
Mazama americana,Red brocket,Artiodactyla,Cervidae,Mazama,17.1,33000.0,1.04109589041096,0.616438356164384,,,
Mazama gouazoubira,Gray brocket,Artiodactyla,Cervidae,Mazama,14.8,17000.0,1.04109589041096,0.580821917808219,,,
Muntiacus crinifrons,Black muntjac,Artiodactyla,Cervidae,Muntiacus,,18590.0,,0.536986301369863,,,
Muntiacus feae,Fea's muntjac,Artiodactyla,Cervidae,Muntiacus,,22000.0,,0.536986301369863,,,
Muntiacus muntjak vaginalis,Indian muntjac,Artiodactyla,Cervidae,Muntiacus,18.8,21000.0,0.827397260273973,0.575342465753425,,,
Muntiacus reevesi,Reeves's muntjac,Artiodactyla,Cervidae,Muntiacus,23.2,18000.0,0.750684931506849,0.545205479452055,,,
Odocoileus hemionus,Mule deer,Artiodactyla,Cervidae,Odocoileus,22.0,57000.0,1.34383561643836,0.567123287671233,,,313.15
Odocoileus virginianus,White-tailed deer,Artiodactyla,Cervidae,Odocoileus,23.0,87000.0,0.994520547945206,0.542465753424658,123.447,61862.5,312.15
Ozotoceros bezoarticus,Pampas deer,Artiodactyla,Cervidae,Ozotoceros,21.9,32500.0,1.0,0.583561643835616,,,310.65
Przewalskium albirostre,Thorold's deer,Artiodactyla,Cervidae,Przewalskium,21.3,135000.0,2.0,0.693150684931507,,,
Pudu puda,Southern pudu,Artiodactyla,Cervidae,Pudu,18.3,10000.0,0.813698630136986,0.547945205479452,,,
Rangifer tarandus,Caribou and reindeer,Artiodactyla,Cervidae,Rangifer,21.8,101250.0,1.83835616438356,0.624657534246575,119.66,85000.0,310.35
Rucervus duvaucelii,Barasingha,Artiodactyla,Cervidae,Rucervus,24.5,170000.0,3.0,0.684931506849315,,,
Rucervus eldii,Eld's deer,Artiodactyla,Cervidae,Rucervus,20.5,122500.0,1.39178082191781,0.66027397260274,,,
Rusa alfredi,Visayan spotted deer,Artiodactyla,Cervidae,Rusa,18.5,46475.0,,0.665753424657534,,,
Rusa marianna,Philippine deer,Artiodactyla,Cervidae,Rusa,,50000.0,,,,,
Rusa timorensis,Timor deer,Artiodactyla,Cervidae,Rusa,21.1,63000.0,1.27123287671233,0.687671232876712,,,
Rusa unicolor,Sambar,Artiodactyla,Cervidae,Rusa,26.4,185000.0,1.78082191780822,0.635616438356164,,,
Giraffa camelopardalis,Giraffe,Artiodactyla,Giraffidae,Giraffa,39.5,800000.0,4.0027397260274,1.25205479452055,,,310.25
Okapia johnstoni,Okapi,Artiodactyla,Giraffidae,Okapia,33.5,225000.0,1.87397260273973,1.25479452054795,,,311.22
Hexaprotodon liberiensis,Pygmy hippopotamus,Artiodactyla,Hippopotamidae,Hexaprotodon,42.3,215000.0,4.0027397260274,0.545205479452055,,,
Hippopotamus amphibius,Hippopotamus,Artiodactyla,Hippopotamidae,Hippopotamus,61.2,3750000.0,3.5041095890411,0.641095890410959,,,308.55
Moschus berezovskii,Chinese forest musk deer,Artiodactyla,Moschidae,Moschus,,12000.0,1.47945205479452,0.53972602739726,,,
Moschus chrysogaster,Alpine musk deer,Artiodactyla,Moschidae,Moschus,,11000.0,1.75068493150685,0.515068493150685,,,
Moschus moschiferus,Siberian musk deer,Artiodactyla,Moschidae,Moschus,,10000.0,1.2958904109589,0.443835616438356,,,
Babyrousa babyrussa,Babirusa,Artiodactyla,Suidae,Babyrousa,22.9,71500.0,1.5013698630137,0.419178082191781,,,
Hylochoerus meinertzhageni,Giant forest hog,Artiodactyla,Suidae,Hylochoerus,18.0,202500.0,1.20821917808219,0.361643835616438,,,
Phacochoerus africanus,Wart hog,Artiodactyla,Suidae,Phacochoerus,20.9,100000.0,1.58356164383562,0.449315068493151,,,
Potamochoerus larvatus,Bushpig,Artiodactyla,Suidae,Potamochoerus,,87500.0,,0.334246575342466,,,
Potamochoerus porcus,Red river hog,Artiodactyla,Suidae,Potamochoerus,22.0,88000.0,3.0027397260274,0.334246575342466,,,
Sus barbatus,Bearded pig,Artiodactyla,Suidae,Sus,16.2,102750.0,0.993150684931507,0.334246575342466,,,
Sus salvanius,Pygmy hog,Artiodactyla,Suidae,Sus,14.0,8000.0,1.91780821917808,0.295890410958904,,,
Sus scrofa domesticus,Wild boar,Artiodactyla,Suidae,Sus,23.0,350000.0,0.458334,0.315068493150685,104.15,135000.0,312.15
Sus scrofa minusculus,,Artiodactyla,Suidae,Sus,23.0,100000.0,0.458334,0.315068493150685,104.15,135000.0,312.15
Sus verrucosus,Javan pig,Artiodactyla,Suidae,Sus,17.0,76000.0,0.750684931506849,0.328767123287671,,,
Catagonus wagneri,Chacoan peccary,Artiodactyla,Tayassuidae,Catagonus,9.0,34750.0,3.0027397260274,0.416438356164384,,,
Pecari tajacu,Collared peccary,Artiodactyla,Tayassuidae,Pecari,31.5,20200.0,0.941095890410959,0.397260273972603,33.165,20500.0,310.65
Tayassu pecari,White-lipped peccary,Artiodactyla,Tayassuidae,Tayassu,28.5,22000.0,1.5013698630137,0.432876712328767,,,311.65
Hyemoschus aquaticus,Water chevrotain,Artiodactyla,Tragulidae,Hyemoschus,14.0,11000.0,1.1041095890411,0.479452054794521,,,
Moschiola meminna,Indian spotted chevrotain,Artiodactyla,Tragulidae,Moschiola,14.5,2450.0,,0.410958904109589,,,
Tragulus javanicus,Lesser mouse-deer,Artiodactyla,Tragulidae,Tragulus,14.0,2850.0,0.457534246575342,0.394520547945205,4.883,1615.5,311.55
Tragulus napu,Greater mouse-deer,Artiodactyla,Tragulidae,Tragulus,16.7,6500.0,0.372602739726027,0.419178082191781,,,
Ailurus fulgens,Red panda,Carnivora,Ailuridae,Ailurus,19.0,4325.0,1.50684931506849,0.317808219178082,4.898,5740.0,310.75
Atelocynus microtis,Short-eared dog,Carnivora,Canidae,Atelocynus,11.9,9500.0,,,,,
Canis adustus,Side-striped jackal,Carnivora,Canidae,Canis,13.7,10250.0,0.750684931506849,0.175342465753425,,,
Canis aureus,Golden jackal,Carnivora,Canidae,Canis,18.8,11000.0,0.915068493150685,0.172602739726027,,,311.95
Canis familiaris,Domestic dog,Carnivora,Canidae,Canis,24.0,40000.0,1.3972602739726,0.172602739726027,,,
Canis latrans,Coyote,Carnivora,Canidae,Canis,21.8,13250.0,0.750684931506849,0.172602739726027,19.423,10148.9,310.15
Canis lupus familiaris,Gray wolf,Carnivora,Canidae,Canis,24.0,26625.0,1.83287671232877,0.16986301369863,,,311.45
Canis mesomelas,Black-backed jackal,Carnivora,Canidae,Canis,16.7,10250.0,0.767123287671233,0.164383561643836,21.533,7720.0,311.15
Cerdocyon thous,Crab-eating fox,Carnivora,Canidae,Cerdocyon,12.7,6500.0,0.750684931506849,0.150684931506849,8.502,5444.0,311.35
Chrysocyon brachyurus,Maned wolf,Carnivora,Canidae,Chrysocyon,16.8,21500.0,2.0,0.175342465753425,,,
Cuon alpinus,Dhole,Carnivora,Canidae,Cuon,16.1,15750.0,1.0,0.167123287671233,,,
Lycalopex culpaeus,Culpeo,Carnivora,Canidae,Lycalopex,13.1,13000.0,1.0,0.167123287671233,,,
Lycalopex griseus,Argentinian gray fox,Carnivora,Canidae,Lycalopex,10.9,3990.0,,0.153424657534247,,,
Lycalopex gymnocercus,Pampas fox,Carnivora,Canidae,Lycalopex,13.7,8500.0,0.832876712328767,0.156164383561644,,,
Lycalopex sechurae,Sechuran fox,Carnivora,Canidae,Lycalopex,9.9,4000.0,,,,,
Lycalopex vetulus,Hoary fox,Carnivora,Canidae,Lycalopex,12.6,5350.0,,,,,
Lycaon pictus,African wild dog,Carnivora,Canidae,Lycaon,17.0,26500.0,1.75068493150685,0.197260273972603,33.01,8750.0,
Nyctereutes procyonoides,Raccoon dog,Carnivora,Canidae,Nyctereutes,16.6,6500.0,0.832876712328767,0.167123287671233,,,311.15
Otocyon megalotis,Bat-eared fox,Carnivora,Canidae,Otocyon,17.0,4150.0,1.0,0.186301369863014,,,
Speothos venaticus,Bush dog,Carnivora,Canidae,Speothos,14.1,6000.0,0.916438356164384,0.186301369863014,,,
Urocyon cinereoargenteus,Gray fox,Carnivora,Canidae,Urocyon,16.2,4750.0,0.972602739726027,0.156164383561644,,,
Urocyon littoralis,Island gray fox,Carnivora,Canidae,Urocyon,8.0,1890.7,1.0,0.142465753424658,,,
Vulpes bengalensis,Indian fox,Carnivora,Canidae,Vulpes,10.0,2375.0,,0.136986301369863,,,
Vulpes cana,Blanford's fox,Carnivora,Canidae,Vulpes,10.0,1000.0,0.832876712328767,0.150684931506849,,,311.65
Vulpes chama,Cape fox,Carnivora,Canidae,Vulpes,10.0,4000.0,0.750684931506849,0.13972602739726,,,
Vulpes corsac,Corsac fox,Carnivora,Canidae,Vulpes,13.0,2700.0,1.38082191780822,0.145205479452055,,,
Vulpes lagopus,Arctic fox,Carnivora,Canidae,Vulpes,16.3,5200.0,0.832876712328767,0.142465753424658,7.665,3600.0,311.75
Vulpes macrotis,Kit fox,Carnivora,Canidae,Vulpes,15.8,2500.0,,0.147945205479452,4.928,1769.0,311.15
Vulpes pallida,Pale fox,Carnivora,Canidae,Vulpes,16.0,2800.0,,0.142465753424658,,,
Vulpes rueppellii,Ruppell's sand fox,Carnivora,Canidae,Vulpes,14.3,3200.0,,,,,
Vulpes velox,Swift fox,Carnivora,Canidae,Vulpes,15.9,2400.0,1.0,0.150684931506849,4.948,1769.0,
Vulpes vulpes,Red fox,Carnivora,Canidae,Vulpes,21.3,4131.7,0.832876712328767,0.142465753424658,13.731,4580.3,311.85
Vulpes zerda,Fennec,Carnivora,Canidae,Vulpes,16.3,1250.0,0.750684931506849,0.13972602739726,2.693,1159.2,311.95
Cryptoprocta ferox,Fossa,Carnivora,Eupleridae,Cryptoprocta,23.1,9500.0,4.0986301369863,0.246575342465753,,,
Fossa fossana,Malagasy civet,Carnivora,Eupleridae,Fossa,21.4,1540.0,1.99452054794521,0.224657534246575,5.02262,2260.0,311.05
Galidia elegans,Ring-tailed mongoose,Carnivora,Eupleridae,Galidia,26.0,800.0,2.01917808219178,0.197260273972603,,,
Mungotictis decemlineata,Narrow-striped mongoose,Carnivora,Eupleridae,Mungotictis,,700.0,2.03287671232877,0.271232876712329,,,
Acinonyx jubatus,Cheetah,Carnivora,Felidae,Acinonyx,20.5,53500.0,1.24931506849315,0.241095890410959,61.77,38446.1,312.15
Caracal caracal,Caracal,Carnivora,Felidae,Caracal,20.3,16000.0,1.24931506849315,0.202739726027397,,,
Catopuma temminckii,Asiatic golden cat,Carnivora,Felidae,Catopuma,23.0,13500.0,1.75068493150685,0.26027397260274,,,
Felis catus,Domestic cat,Carnivora,Felidae,Felis,30.0,3900.0,0.791780821917808,0.178082191780822,,,311.25
Felis chaus,Jungle cat,Carnivora,Felidae,Felis,20.0,10000.0,0.917808219178082,0.164383561643836,,,
Felis manul,Pallas' cat,Carnivora,Felidae,Felis,15.9,3500.0,1.0,0.197260273972603,,,
Felis margarita,Sand cat,Carnivora,Felidae,Felis,13.9,2750.0,0.750684931506849,0.183561643835616,,,
Felis nigripes,Black-footed cat,Carnivora,Felidae,Felis,15.6,2125.0,1.2041095890411,0.180821917808219,,,
Felis silvestris,Wild cat,Carnivora,Felidae,Felis,19.0,5500.0,0.832876712328767,0.175342465753425,,,
Leopardus colocolo,Colocolo,Carnivora,Felidae,Leopardus,19.6,2950.0,,,,,
Leopardus geoffroyi,Geoffroy's cat,Carnivora,Felidae,Leopardus,23.0,4000.0,1.31232876712329,0.205479452054795,,,
Leopardus guigna,Kodkod,Carnivora,Felidae,Leopardus,,2230.0,,,,,
Leopardus pardalis,Ocelot,Carnivora,Felidae,Leopardus,28.2,8800.0,1.64383561643836,0.210958904109589,17.368,10500.0,311.15
Leopardus tigrinus,Little spotted cat,Carnivora,Felidae,Leopardus,21.9,2250.0,,0.205479452054795,,,
Leopardus wiedii,Margay,Carnivora,Felidae,Leopardus,24.0,3666.7,1.80547945205479,0.221917808219178,5.227,3600.0,311.55
Leptailurus serval,Serval,Carnivora,Felidae,Leptailurus,22.4,13350.0,2.24931506849315,0.191780821917808,1.44,1012.0,
Lynx canadensis,Canada lynx,Carnivora,Felidae,Lynx,26.8,10100.0,1.46712328767123,0.172602739726027,,,
Lynx lynx,Eurasian lynx,Carnivora,Felidae,Lynx,23.7,23000.0,2.25068493150685,0.180821917808219,,,
Lynx pardinus,Spanish lynx,Carnivora,Felidae,Lynx,,11000.0,,0.186301369863014,,,
Lynx rufus,Bobcat,Carnivora,Felidae,Lynx,32.3,8600.0,1.5,0.178082191780822,23.446,9400.0,
Neofelis nebulosa,Clouded leopard,Carnivora,Felidae,Neofelis,19.8,19500.0,2.5,0.243835616438356,,,
Panthera leo nubica,Lion,Carnivora,Felidae,Panthera,27.0,175000.0,3.0,0.298630136986301,94.58,98000.0,311.05
Panthera onca,Jaguar,Carnivora,Felidae,Panthera,28.0,81150.0,2.0,0.271232876712329,62.419,50400.0,310.15
Panthera pardus,Leopard,Carnivora,Felidae,Panthera,27.3,53750.0,2.33972602739726,0.265753424657534,,,
Panthera tigris,Tiger,Carnivora,Felidae,Panthera,26.3,161914.66,3.67534246575342,0.287671232876712,133.859,137900.0,310.65
Pardofelis marmorata,Marbled cat,Carnivora,Felidae,Pardofelis,,3500.0,,,,,
Prionailurus bengalensis,Leopard cat,Carnivora,Felidae,Prionailurus,17.0,5000.0,1.0,0.16986301369863,,,
Prionailurus planiceps,Flat-headed cat,Carnivora,Felidae,Prionailurus,14.0,6750.0,,0.153424657534247,,,
Prionailurus rubiginosus,Rusty-spotted cat,Carnivora,Felidae,Prionailurus,17.9,1350.0,,0.186301369863014,,,
Prionailurus viverrinus,Fishing cat,Carnivora,Felidae,Prionailurus,17.2,10650.0,,0.197260273972603,,,
Profelis aurata,African golden cat,Carnivora,Felidae,Profelis,21.0,10650.0,1.78249315068493,0.221917808219178,,,
Puma concolor,Cougar,Carnivora,Felidae,Puma,23.8,63000.0,2.4986301369863,0.252054794520548,49.326,37200.0,310.75
Puma yagouaroundi,Jaguarundi,Carnivora,Felidae,Puma,18.6,7000.0,2.2,0.2,9.69,8400.0,311.55
Uncia uncia,Snow leopard,Carnivora,Felidae,Uncia,21.2,50000.0,2.0,0.263013698630137,,,
