CGid,coef
Intercept,1.431441164
cg00249943,0.15278629
cg00250826,0.002770105
cg00292639,-0.129891492
cg00362836,0.04862963
cg00411555,-0.031365579
cg00513357,0.091425998
cg00587168,0.055298686
cg00593462,0.437911032
cg00687674,-0.140868637
cg00694357,-0.808471134
cg00900456,-0.033398244
cg00954002,-0.122975242
cg01009870,0.101085274
cg01019040,-0.004560905
cg01059743,-0.206340851
cg01136078,-0.001618486
cg01153166,0.07213742
cg01169686,-0.036956214
cg01246498,0.05297066
cg01429475,0.172114471
cg01511232,0.037939655
cg01656216,0.047490848
cg01698540,0.06197273
cg01794235,0.047381114
cg01975510,0.054041463
cg02474352,0.05577934
cg02499612,-0.041029
cg02532525,0.129828583
cg02606236,-0.020354116
cg02692845,-0.010986992
cg02734933,-0.050618726
cg02909927,-0.001149372
cg02963786,-0.145537423
cg03098892,-0.067706973
cg03103192,0.033028519
cg03185524,0.083587533
cg03320248,0.025943472
cg03370924,0.178694835
cg03564272,0.093220736
cg03603997,-0.003361709
cg03605454,0.274512763
cg03668418,-0.142897356
cg03820088,0.337643757
cg03898602,-0.167582063
cg03905052,0.037489046
cg03942000,0.08710688
cg03962027,-0.063363854
cg04025518,-0.167136372
cg04051518,-0.13275703
cg04097289,0.131097793
cg04211240,0.106295746
cg04267101,-0.234464438
cg04291050,0.033521914
cg04318752,-0.009291233
cg04368876,0.30163763
cg04706544,0.044175638
cg04998737,0.336274571
cg05191959,-0.964267062
cg05322294,-0.12388945
cg05401971,0.288727819
cg05475048,0.126731493
cg05562063,0.056409006
cg05575054,0.095687169
cg05601676,-0.014081943
cg05844902,-0.081703634
cg06004718,-0.054016232
cg06098215,-0.040804439
cg06220792,0.017929448
cg06283779,-0.097847143
cg06472065,-0.06032863
cg06639082,-0.025852302
cg06679868,-0.013441018
cg06736685,-0.442681022
cg06796779,-0.052124729
cg07005811,-0.053978516
cg07026794,-0.028648239
cg07117595,-0.009407756
cg07323940,-0.005648684
cg07499079,0.077393584
cg07600647,0.019510384
cg07867602,-0.000113915
cg07875786,0.002606451
cg07903650,-0.068952498
cg07938388,0.023188053
cg08074329,0.31370608
cg08216101,0.070851007
cg08343834,-0.045625754
cg08402623,0.022058899
cg08430237,-0.007938643
cg08446005,0.034781313
cg08563010,-0.009484972
cg08665685,0.013526449
cg08676748,0.179769916
cg08797870,0.007758876
cg08912313,-0.03524641
cg08918292,0.024598087
cg08938156,0.84374916
cg09025625,-0.029368018
cg09191327,-0.037793254
cg09227056,0.388273708
cg09313705,-0.06520474
cg09360996,-0.437834135
cg09461098,-0.107178386
cg09497746,0.135841844
cg09568652,0.053133715
cg09576428,-0.003283005
cg09578613,-0.015897374
cg09605634,0.00252451
cg09618893,-0.014382141
cg09622673,0.232329532
cg09670972,0.038711369
cg09681292,0.045923732
cg09710440,0.276573722
cg09750164,4.45e-05
cg09807427,-0.057209803
cg09973880,-0.034709016
cg10040493,0.076596883
cg10061379,-0.149762732
cg10125423,0.124808965
cg10160701,0.073138298
cg10233638,-0.097268038
cg10402101,-0.047113417
cg10404717,0.016439831
cg10439738,0.02922725
cg10466667,-0.062113024
cg10480998,0.026992226
cg10501210,-0.392054908
cg10603790,0.030818855
cg10739250,0.015192998
cg10975089,-0.06229758
cg11084334,0.224047701
cg11235379,0.058113099
cg11290280,-0.119734094
cg11321459,-0.036231743
cg11352386,0.025405259
cg11405955,0.020506243
cg11407867,-0.12524961
cg11516694,-0.105323857
cg11642756,-0.100344586
cg11666770,0.064193026
cg11690941,0.0002076
cg11728741,0.928873588
cg11904056,0.341790932
cg11948733,-0.093593414
cg12156848,0.232543363
cg12201500,-0.074764531
cg12373771,0.160353416
cg12382554,-0.107814003
cg12449245,0.049296508
cg12509499,-0.062262881
cg12651099,0.248216038
cg12791299,0.034068233
cg12815291,0.067443521
cg12830057,0.109563898
cg12841266,0.123459106
cg12850734,0.024257219
cg12965599,-0.015643746
cg12969847,0.009161422
cg13058338,0.6386603
cg13084522,-0.082187142
cg13188467,-0.001406524
cg13242392,-0.842267016
cg13285426,0.033466868
cg13400013,0.018753985
cg13401299,0.013469508
cg13608832,-0.162165048
cg13609316,-0.000422564
cg13935553,-0.063401019
cg14241460,-0.196790456
cg14361875,-0.165076507
cg14381350,0.151545604
cg14384416,0.080662786
cg14443903,-0.289068334
cg14458704,0.002518394
cg14701342,0.018228068
cg14762358,-0.026945903
cg14811158,0.035665341
cg14903956,-0.097409971
cg14919591,-0.287442301
cg15089111,0.017766619
cg15166827,-0.132208303
cg15340018,0.201225539
cg15437942,0.118504219
cg15496507,-0.026067798
cg15580396,-0.016772084
cg15597031,0.023984324
cg15682828,0.2554586
cg15719056,0.105238486
cg15726426,0.003019246
cg15746205,-0.150618685
cg15809488,-0.664041584
cg15903282,0.020030463
cg15991909,-0.04962426
cg16366505,0.032339211
cg16423684,0.008945547
cg16475558,-0.001455788
cg16486681,-0.044001663
cg16570119,0.073642964
cg16599143,0.272940073
cg16671190,0.044830868
cg16756969,-0.069680929
cg16764258,0.025342504
cg16867657,0.144298802
cg16960327,0.276846163
cg17114460,0.065309902
cg17116410,0.066407374
cg17143801,0.306777113
cg17267107,0.127785136
cg17357006,0.019420368
cg17365410,-0.589556598
cg17437489,-0.18444058
cg17499466,0.018911331
cg17516812,-0.028641676
cg17633063,0.01802741
cg17718834,0.057719543
cg17850367,0.000359682
cg17876669,-0.034764336
cg17905888,-0.107558271
cg18094982,0.049600413
cg18168101,-0.145768619
cg18169540,0.033117452
cg18194685,0.100103362
cg18223258,-0.067118113
cg18304538,0.07334619
cg18411550,-0.306030595
cg18433728,-0.025967256
cg18473521.2,0.04241454
cg18502834,-0.211022983
cg18526971,-0.118880121
cg18577444,-0.117337858
cg18672716,0.039698776
cg18738190,-0.154921975
cg18814344,-0.152329357
cg18821963,0.25659039
cg18918349,-0.003875303
cg19090691,-0.121300661
cg19098934,0.012643955
cg19195912,-0.09196262
cg19233240,0.037414441
cg19358608,0.015860249
cg19450032,-0.003476503
cg19513247,-0.213046499
cg19591642,-0.351198176
cg19622303,0.037041466
cg19635507,-0.003600397
cg19643847,-0.116943413
cg19821183,-0.01669086
cg19981759,0.089226419
cg20113482,0.00012533
cg20185523,0.002308501
cg20331456,-0.11120608
cg20345626,-0.051125014
cg20421508,0.010438543
cg20452275,-0.153614651
cg20615601,-0.209853407
cg20738648,0.057955892
cg20804050,-0.189793904
cg21006686,0.025069307
cg21345677,0.068774528
cg21621248,-0.0298708
cg21633990,0.033711465
cg21650436,-0.000271686
cg21694863,-0.04195258
cg21907062,0.012016874
cg21956144,0.003211951
cg22031066,0.071068167
cg22264409,0.22425113
cg22267613,-0.081206768
cg22338839,-0.150449084
cg22354333,-0.255651658
cg22380921,-0.008258906
cg22398409,-0.033401784
cg22416332,-0.000398777
cg22457719,0.048841565
cg22560410,-0.192257773
cg22621796,-0.097385387
cg22661206,0.261166228
cg22929401,-0.387711707
cg23076498,0.148003979
cg23087015,0.254654559
cg23128382,-0.046604843
cg23292987,0.00303996
cg23314464,0.015436719
cg23415880,0.061838193
cg23501051,-0.073722153
cg23510032,-0.038272497
cg23597501,0.056082868
cg23778391,-0.197359572
cg23931487,0.000441897
cg23985931,0.19795673
cg24055081,-0.093870511
cg24058132,-0.122562391
cg24119607,-0.058343374
cg24191230,0.041990684
cg24315421,-0.044871807
cg24352905,0.853267701
cg24357465,0.090101787
cg24504442,0.067603335
cg24551749,0.000464049
cg24615318,-0.018147331
cg24655241,0.064225663
cg24805210,-0.137834732
cg24888049,-0.039374797
cg24952195,0.07968321
cg24977387,-0.019749715
cg25019875,0.138827739
cg25033328,-0.131315015
cg25184118,-0.197577125
cg25217825,0.075596402
cg25424883,-0.277068553
cg25468783,0.11346356
cg25603344,-0.17847739
cg25943666,0.154930766
cg26012482,0.096389422
cg26067250,0.510612929
cg26072749,-0.099396313
cg26275174,-0.040912185
cg26311454,0.064506134
cg26418994,0.005591741
cg26512254,0.088946847
cg26581729,-0.010839533
cg26589497,-0.008017655
cg26614073,-0.01563665
cg26662324,-0.32657677
cg26709300,-0.037799163
cg26844246,0.150487122
cg27088374,-0.136771586
cg27201382,0.44464499
cg27228973,-0.038098753
cg27507315,-0.21075238
cg27547112,0.010457976
cg27553955,0.094160723
cg27581159,-0.129683554
cg27657271,-0.070242698
cg27662445,-0.115571957
