CGid,coef
Intercept,-1.911376417
cg00020468,-0.002385015
cg00096922,-0.009445006
cg00098422,0.055805395
cg00106940,-0.059144902
cg00195533,-0.172659288
cg00250826,0.007619397
cg00258262,0.053678899
cg00314427,-0.078688839
cg00362836,0.059616586
cg00384342,-0.065628925
cg00454305,-0.034853815
cg00467357,-0.04281876
cg00489428,0.259347448
cg00568797,0.000704476
cg00593462,0.102285886
cg00643485,0.106150468
cg00689383,-0.019021064
cg00694357,-0.226399969
cg00788877,-0.010860024
cg00864083,0.079041497
cg00871371,-0.10834653
cg00929113,-0.019965063
cg00975350,-0.084775867
cg00984060,0.02648832
cg01019040,-0.022070782
cg01038105,-0.093778762
cg01061575,0.031510738
cg01063757,-0.095529161
cg01090334,0.040065649
cg01137681,0.033200202
cg01150494,0.262796867
cg01153166,0.009852162
cg01169686,-0.024840384
cg01224972,0.095609357
cg01293647,-0.150593826
cg01301326,-0.004566517
cg01309159,-0.054916848
cg01328716,-0.031191772
cg01337143,0.07480186
cg01409964,0.083311003
cg01429475,0.119481691
cg01450059,-0.027134492
cg01534197,0.002593792
cg01550545,0.026014745
cg01566077,-0.154666184
cg01571965,0.011414881
cg01585174,-0.027592912
cg01594275,0.247994017
cg01631669,-0.058052296
cg01648756,0.064415481
cg01712842,0.041565693
cg01782227,-0.102976592
cg01946200,0.048346894
cg01975510,0.411008638
cg01998606,0.015427788
cg02034779,0.051431844
cg02040024,0.109016144
cg02040823,-0.03142684
cg02177464,0.192402722
cg02184281,-0.085773654
cg02273345,-0.05115149
cg02284095,0.067307142
cg02287493,0.036755419
cg02360445,-0.007329344
cg02376954,-0.168298169
cg02456804,0.151081425
cg02532525,0.149617321
cg02551294,0.023974005
cg02629039,-0.007261266
cg02692845,-0.114387436
cg02783173,0.045964123
cg02800363,-0.170767165
cg02864622,0.029391622
cg02909927,-0.026285595
cg02946452,0.027377597
cg02953590,0.049758795
cg02963786,-0.085778172
cg02968236,-0.019829188
cg03127034,2.64e-05
cg03163184,0.027326053
cg03190580,-0.034310363
cg03222030,-0.007134081
cg03225697,-0.070415212
cg03247467,-0.007630757
cg03320248,0.001015294
cg03387624,-0.020938909
cg03420509,-0.073838114
cg03521797,-0.211323543
cg03588035,-0.116801899
cg03600207,-0.072475922
cg03668418,-0.002172889
cg03679521,0.401910668
cg03683773,-0.021062056
cg03820088,0.013663094
cg03898602,-0.048943351
cg03905052,0.01877552
cg03909491,0.033113247
cg03917360,0.037601777
cg03942000,0.110069983
cg03957108,7.1e-05
cg04025518,-0.042933617
cg04087693,0.066535753
cg04103301,-0.017828848
cg04111974,-0.026401162
cg04204168,-0.049448309
cg04267101,-0.029512229
cg04353319,0.053408585
cg04366185,0.022592427
cg04368876,0.024900264
cg04373810,-0.000961809
cg04414148,-0.027833877
cg04539386,-0.110715895
cg04584281,-0.009269542
cg04680480,0.122538377
cg04706544,0.048970692
cg04707251,-0.15734952
cg04725401,0.144229417
cg04787747,0.1704938
cg04817453,0.055106825
cg04847707,-0.063028003
cg04889095,0.116838767
cg04913399,-0.001623059
cg04958293,-0.002086394
cg04996684,0.001550941
cg04998737,0.487512428
cg05008190,-0.220085399
cg05033071,-0.027820003
cg05035366,-0.024783411
cg05039938,-0.139131933
cg05136138,-0.004057652
cg05172686,-0.001596476
cg05196683,0.022048697
cg05243338,-0.111901872
cg05261703,-0.129021442
cg05292023,-0.004253109
cg05330587,-0.134189874
cg05332360,0.015314069
cg05359706,0.050629195
cg05401971,0.51729423
cg05456580,0.024586053
cg05474883,0.95219804
cg05524242,-0.00399539
cg05535461,0.005687636
cg05537515,-0.034620192
cg05551621,0.310352634
cg05575054,0.065671064
cg05584618,0.001226466
cg05620664,-0.03690146
cg05675373,0.010905188
cg05684493,0.004714162
cg05690769,-2.12e-05
cg05704605,0.072925171
cg05793328,-0.036896393
cg05801021,0.094169856
cg05801832,-0.009287951
cg05817746,-0.004281869
cg05844902,-0.011617505
cg05844937,0.02615092
cg05861987,0.011704452
cg05911522,-0.049101309
cg05916870,-0.01564845
cg05933505,-0.050356223
cg05967003,-0.047116017
cg06004718,-0.151476537
cg06102298,-0.058171016
cg06156376,0.080213875
cg06250511,0.02770522
cg06333141,0.016708865
cg06386724,-0.030213637
cg06391468,-0.082878805
cg06392591,-0.021720168
cg06461219,-0.163768176
cg06472065,-0.000451428
cg06482098,-0.001129016
cg06607996,-0.064283256
cg06655463,0.005919804
cg06679868,-0.087059824
cg06721611,0.020903307
cg06736685,-0.098155659
cg06779064,-0.017574281
cg06787049,0.000206946
cg06790494,-0.083262743
cg06796779,-0.00147491
cg06828322,-0.019052189
cg06878766,0.336647664
cg06997801,0.002219338
cg07005811,-0.084248283
cg07014363,0.02341228
cg07026794,-0.000529793
cg07056567,-0.007320518
cg07081182,0.023517985
cg07225115,-0.0528051
cg07279255,0.063714372
cg07292994,-0.175028628
cg07293320,-0.092995293
cg07299823,-0.011704022
cg07323940,-0.079425248
cg07332354,0.210602177
cg07383477,-0.053446914
cg07423797,0.098045953
cg07459759,-0.011710047
cg07493901,-0.515118624
cg07547549,0.077740052
cg07564343,-0.154170596
cg07601141,0.046554901
cg07776022,-0.052318123
cg07782608,0.008144109
cg07843244,-0.004851531
cg07875786,0.182469108
cg07878283,-0.006931351
cg07881279,-0.2624794
cg07906193,-0.021631513
cg07932605,0.036464469
cg07991826,0.210256274
cg08007722,-0.085549848
cg08030321,0.020570823
cg08040307,0.135160024
cg08074329,0.441754784
cg08092317,0.011262183
cg08247363,-0.004480792
cg08321639,0.017637495
cg08378313,-0.018045646
cg08402704,0.05650356
cg08438614,-0.034360159
cg08446005,0.057680024
cg08454381,-0.00875913
cg08508546,-0.000163097
cg08510667,0.038626174
cg08538268,0.152393805
cg08563010,-0.207356586
cg08570512,-0.056245727
cg08587692,-0.03684907
cg08627730,-5.13e-05
cg08651129,-0.234631469
cg08666298,-0.063007641
cg08676748,0.05085596
cg08681110,0.647719215
cg08747377,-0.012083729
cg08909367,0.031481533
cg08912313,-0.029800205
cg08933909,-0.004387621
cg08938156,0.210579727
cg08965235,-0.021251602
cg08981150,0.003965209
cg09008979,-0.050057058
cg09009312,-0.002539866
cg09023627,0.052520774
cg09061197,0.015308707
cg09169719,-0.005659556
cg09191327,-0.002738114
cg09200783,0.307782124
cg09227056,0.615234523
cg09313705,-0.003322833
cg09316860,0.011680446
cg09337540,0.000524824
cg09360996,-0.160077529
cg09362546,-0.165298047
cg09363187,0.006909874
cg09364634,-0.018007928
cg09374953,-0.018098904
cg09377007,-0.110760228
cg09453226,0.057659305
cg09461098,-0.115723588
cg09474015,-0.009735386
cg09482204,-0.023764229
cg09606114,-0.030537123
cg09629523,-0.03430037
cg09646392,0.189670079
cg09661809,0.02218746
cg09661817,0.144155241
cg09710440,0.877027426
cg09750164,0.012277698
cg09809672,-0.203516381
cg09817427,0.129808607
cg09989727,0.068012035
cg10045881,0.026199335
cg10128645,0.023349076
cg10146459,-0.024673088
cg10183248,-0.008189102
cg10186512,0.071397282
cg10211907,-0.017281166
cg10233638,-0.031574468
cg10235290,-0.052128427
cg10246778,0.012722939
cg10278760,-0.052540725
cg10381180,-0.017842965
cg10439738,0.110012017
cg10466667,-0.068272379
cg10491556,-0.007637685
cg10501210,-0.363250509
cg10559644,0.024059405
cg10609096,0.105603585
cg10644072,-0.144604457
cg10677704,-0.117856204
cg10681713,-0.000420184
cg10710448,-0.040461867
cg10711876,-0.016546049
cg10718271,-0.012586215
cg10739250,0.002172333
cg10757510,-0.019746063
cg10792727,-0.209564457
cg10801485,0.019371181
cg10893516,0.00795034
cg10916192,-0.065824821
cg10932472,-0.269568327
cg11082761,0.000171456
cg11084334,0.260997206
cg11108049,-0.031405424
cg11128281,0.124176363
cg11156581,-0.054427717
